Count;SessionId;ParticipantId;Condition;CaseTrue;Patienthistory;Patientfindings;Patientlab;Patientbildgebung;Patientekg;Patientimage2;AmountPatient;AmountPatientRatio;TimePatient;TimePatientSeconds;TechnicalQuestion;Request;Statement;Differentiate;Exclude;SupportDiagnostics;SupportManagement;Other;FirstQuestionCopy;FirstQuestionSelf;AmountDiagnosesMentioned;AmountDiagnosesExcluded;DurationInteraction;DurationInteractionSeconds;AmountInteraction;StartInteraction;EndInteraction
18;674465326;HFHS1967;GPT;1;1;1;1;1;1;1;6;1;00:03:22;202;2;0;2;0;2;0;0;1;0;1;10;0;00:19:00;1140;16;15:27:00;15:46:00
19;419719520;IMSG1973;Human;1;1;1;0;0;0;0;2;0.333333333;00:01:16;76;3;1;4;0;0;0;0;5;1;0;5;1;00:19:23;1163;46;17:13:17;17:32:40
20;419719520;IMSG1973;Human;2;1;0;0;0;0;0;1;0.166666667;00:01:00;60;1;0;2;0;1;0;0;8;1;0;3;0;00:13:39;819;32;17:36:35;17:50:14
21;451158753;JLJK1973;GPT;2;1;1;0;0;0;0;2;0.333333333;00:04:45;285;0;0;0;0;1;0;0;5;0;1;8;0;00:13:28;808;14;17:13:43;17:27:11
22;451158753;JLJK1973;GPT;1;1;0;1;1;1;1;5;0.833333333;00:02:33;153;0;1;0;0;0;0;0;3;0;1;5;0;00:06:10;370;8;17:34:52;17:41:02
23;142981554;LCFG1965;GPT;1;1;1;1;1;1;1;6;1;00:06:20;380;0;2;1;0;0;0;0;0;1;0;5;0;00:06:41;401;4;16:21:38;16:28:19
24;142981554;LCFG1965;GPT;2;1;1;1;1;1;1;6;1;00:03:23;203;2;1;0;0;0;0;0;0;1;0;5;0;00:07:25;445;6;16:33:42;16:41:07
25;230789282;MABE1960;GPT;2;1;0;0;0;0;0;1;0.166666667;00:01:53;113;0;5;3;0;0;1;0;4;0;1;11;0;00:14:52;892;20;17:15:16;17:30:08
26;230789282;MABE1960;GPT;1;1;0;0;0;0;0;1;0.166666667;00:01:35;95;0;2;2;0;2;0;0;4;1;0;11;1;00:11:33;693;20;17:36:45;17:48:18
27;543180076;MJML1959;Human;1;1;0;0;0;0;0;1;0.166666667;00:01:47;107;0;1;0;0;1;0;0;0;0;1;2;0;00:04:57;297;4;17:14:24;17:19:21
28;543180076;MJML1959;Human;2;1;0;0;0;0;0;1;0.166666667;00:03:54;234;0;0;0;0;1;0;0;0;0;1;1;0;00:06:29;389;5;17:23:49;17:30:18
29;698681793;MPWD1968;Human;1;1;0;0;0;0;0;1;0.166666667;00:00:10;10;0;0;1;0;3;0;0;10;0;1;5;0;00:15:08;908;39;16:13:10;16:28:18
30;698681793;MPWD1968;Human;2;1;0;0;0;0;0;1;0.166666667;00:00:06;6;0;1;4;0;4;0;0;12;0;1;11;2;00:15:00;900;69;16:32:15;16:47:15
31;405277311;NKAA1973;GPT;1;1;1;1;1;1;0;5;0.833333333;00:05:47;347;1;0;0;0;1;0;0;0;0;1;1;0;00:06:51;411;4;17:17:11;17:24:02
32;405277311;NKAA1973;GPT;2;1;0;0;0;0;0;1;0.166666667;00:01:00;60;0;2;0;0;0;0;0;1;1;0;2;0;00:03:54;234;5;17:32:38;17:36:32
33;228474023;NWSJ1970;GPT;1;1;1;1;0;0;0;3;0.5;00:04:14;254;2;0;0;0;0;0;0;0;0;1;3;0;00:06:37;397;4;17:16:29;17:23:06
34;228474023;NWSJ1970;GPT;2;1;1;1;0;0;0;3;0.5;00:04:43;283;1;1;0;0;0;0;0;0;0;1;6;0;00:05:17;317;2;17:37:50;17:43:07
35;320215718;SBGB1963;GPT;2;1;0;0;0;0;0;1;0.166666667;00:02:36;156;0;2;1;0;2;0;0;4;0;1;15;3;00:12:49;769;18;17:14:07;17:26:56
36;320215718;SBGB1963;GPT;1;1;1;1;1;1;1;6;1;00:02:48;168;1;0;2;0;0;0;0;7;0;1;7;0;00:14:12;852;22;17:32:57;17:47:09
37;253553000;SGSS1965;GPT;2;1;1;1;1;1;1;6;1;00:01:35;95;2;0;1;0;1;0;0;11;0;1;4;0;00:16:47;1007;38;16:15:12;16:31:59
38;253553000;SGSS1965;GPT;1;1;1;1;0;0;0;3;0.5;00:00:45;45;0;0;3;0;1;0;0;7;0;1;8;1;00:13:51;831;32;16:33:53;16:47:44
39;637209897;SKSG1974;GPT;1;1;1;1;1;1;1;6;1;00:03:40;220;1;1;0;1;6;0;0;2;0;1;18;0;00:13:33;813;42;17:17:45;17:31:18
40;637209897;SKSG1974;GPT;2;1;0;0;0;0;0;1;0.166666667;00:02:05;125;0;1;0;0;0;0;0;7;0;1;9;0;00:10:42;642;22;17:34:07;17:44:49
41;688375775;SLJS1968;Human;1;1;1;1;0;1;0;4;0.666666667;00:03:35;215;1;3;1;0;2;0;0;0;0;1;3;0;00:17:00;1020;23;17:10:00;17:27:00
42;688375775;SLJS1968;Human;2;1;1;1;0;1;0;4;0.666666667;00:02:54;174;2;0;0;0;1;0;1;0;0;1;5;0;00:14:00;840;20;17:32:00;17:46:00
43;302502886;SLSL1966;Human;1;1;0;0;0;0;0;1;0.166666667;00:02:07;127;2;3;1;0;2;0;0;7;0;1;4;1;00:14:00;840;41;15:17:00;15:31:00
44;302502886;SLSL1966;Human;2;1;0;0;0;0;0;1;0.166666667;00:01:56;116;1;2;0;1;3;0;0;1;0;1;7;0;00:13:00;780;18;15:36:00;15:49:00
45;956950332;SMME1961;GPT;2;1;1;0;0;0;0;2;0.333333333;00:04:01;241;0;1;0;0;0;0;0;5;1;0;14;0;00:19:04;1144;12;17:17:51;17:36:55
46;956950332;SMME1961;GPT;1;1;1;1;1;1;1;6;1;00:07:51;471;0;2;0;0;1;0;0;1;1;0;4;0;00:11:50;710;8;17:43:54;17:55:44
47;246493571;SSGS1963;Human;2;1;1;1;1;1;1;6;1;00:05:32;332;2;1;1;0;1;0;0;4;0;1;5;0;00:19:21;1161;26;17:14:03;17:33:24
48;246493571;SSGS1963;Human;1;1;1;1;1;1;1;6;1;00:08:07;487;1;1;1;0;0;0;0;6;0;1;3;0;00:15:57;957;18;17:37:54;17:53:51
49;548679252;SVUV1965;Human;2;1;1;1;1;1;1;6;1;00:02:30;150;3;2;1;0;3;0;0;0;0;1;9;0;00:16:56;1016;31;16:15:13;16:32:09
50;548679252;SVUV1965;Human;1;1;1;0;0;0;0;2;0.333333333;00:01:01;61;2;2;3;0;0;0;0;0;0;1;3;0;00:11:14;674;21;16:36:29;16:47:43
51;411994659;SZTL1968;Human;2;1;1;1;0;0;0;3;0.5;00:06:40;400;3;1;4;0;1;0;0;1;0;1;8;1;00:22:00;1320;38;15:13:00;15:35:00
53;780412163;UHSW1964;GPT;1;1;1;1;1;1;1;6;1;00:04:38;278;0;0;3;0;1;0;0;10;0;1;10;0;00:24:02;1442;26;16:22:39;16:46:41
54;780412163;UHSW1964;GPT;2;1;1;1;1;1;0;5;0.833333333;00:01:29;89;0;0;0;1;0;0;0;0;0;1;4;0;00:02:24;144;2;16:48:42;16:51:06
55;574710174;UKMS1963;GPT;1;1;1;1;1;1;1;6;1;00:03:00;180;1;0;2;1;0;0;0;4;0;1;10;2;00:14:43;883;18;17:15:04;17:29:47
56;574710174;UKMS1963;GPT;2;1;0;0;0;0;0;1;0.166666667;00:00:53;53;2;0;1;1;1;0;0;2;0;1;3;0;00:09:33;573;14;17:39:53;17:49:26
57;518672387;UMSM1962;Human;2;1;1;0;0;0;0;2;0.333333333;00:05:14;314;0;2;2;0;1;0;0;4;0;1;3;0;00:18:33;1113;19;17:14:36;17:33:09
58;518672387;UMSM1962;Human;1;1;1;1;1;1;0;5;0.833333333;00:03:50;230;0;1;1;0;0;0;0;0;0;1;3;0;00:08:17;497;6;17:40:20;17:48:37
59;317931945;AMLE1968;GPT;2;1;1;1;1;1;1;6;1;00:03:22;203;3;0;0;0;3;0;0;1;0;1;10;0;00:10:00;601;9;15:12:00;15:22:00
60;317931945;AMLE1968;GPT;1;1;1;1;1;1;1;6;1;00:01:54;113;1;0;0;0;1;0;0;1;0;1;2;0;00:09:00;539;7;15:30:00;15:39:00
61;140515775;AMMM1965;GPT;1;1;0;0;0;0;0;1;0.166666667;00:03:11;192;0;3;9;0;0;0;0;3;1;0;15;0;00:13:59;840;21;16:14:46;16:28:45
62;140515775;AMMM1965;GPT;2;1;0;0;0;0;0;1;0.166666667;00:01:44;103;0;2;1;0;1;0;0;1;1;0;3;0;00:11:15;674;15;16:32:51;16:44:06
63;713200839;AMTM1969;Human;2;1;0;0;0;0;0;1;0.166666667;00:01:51;112;0;3;3;0;4;0;0;6;1;0;8;1;00:17:21;1042;29;16:14:21;16:31:42
64;713200839;AMTM1969;Human;1;1;1;0;0;0;0;2;0.333333333;00:03:25;204;0;1;3;0;1;0;0;5;1;0;8;0;00:12:11;730;27;16:38:28;16:50:39
65;637253879;BAWA1965;Human;1;1;1;1;0;0;0;3;0.5;00:03:21;202;0;1;1;0;4;0;0;12;0;1;4;0;00:19:43;1184;29;17:15:24;17:35:07
66;637253879;BAWA1965;Human;2;1;1;1;1;1;0;5;0.833333333;00:03:02;181;1;0;1;0;3;0;0;0;0;1;1;0;00:10:51;650;14;17:39:09;17:50:00
67;188496389;BBSS1964;GPT;2;1;0;0;0;0;0;1;0.166666667;00:01:40;99;0;1;0;0;0;0;0;1;1;0;1;0;00:05:00;301;7;15:23:00;15:28:00
68;188496389;BBSS1964;GPT;1;1;1;1;1;1;1;6;1;00:05:58;359;0;0;1;0;1;0;0;2;1;0;5;0;00:13:00;779;25;15:34:00;15:47:00
69;334219910;BMAG1959;Human;2;1;1;1;1;1;0;5;0.833333333;00:07:44;463;1;0;0;0;0;0;0;0;0;1;0;0;00:11:35;696;6;16:13:33;16:25:08
70;334219910;BMAG1959;Human;1;1;1;1;1;1;0;5;0.833333333;00:09:36;577;0;0;0;1;0;0;0;2;0;1;3;0;00:16:05;964;8;16:28:05;16:44:10
71;290190020;BSAS1970;Human;1;1;1;0;0;0;0;2;0.333333333;00:03:05;184;0;0;1;1;4;0;0;4;0;1;10;0;00:17:00;1021;21;17:10:00;17:27:00
72;290190020;BSAS1970;Human;2;1;1;1;0;0;0;3;0.5;00:02:39;160;0;1;4;1;8;0;0;1;0;1;14;2;00:21:00;1259;41;17:29:00;17:50:00
73;382904751;GM1960;Human;2;1;1;1;1;1;0;5;0.833333333;00:06:16;375;0;0;0;0;0;0;0;1;0;1;0;0;00:14:25;866;19;17:12:59;17:27:24
74;382904751;GM1960;Human;1;1;1;1;1;1;0;5;0.833333333;00:05:05;307;0;0;2;1;1;0;0;4;0;1;8;0;00:14:37;876;10;17:30:16;17:44:53
75;674465326;HFHS1967;GPT;2;1;1;1;1;1;1;6;1;00:04:20;259;0;0;0;0;1;0;0;0;0;1;5;0;00:05:00;301;3;15:12:00;15:17:00
76;674465326;HFHS1967;GPT;1;1;1;1;1;1;1;6;1;00:03:22;203;2;0;2;0;2;0;0;1;0;1;9;0;00:19:00;1139;15;15:27:00;15:46:00
77;419719520;IMSG1973;Human;1;1;1;0;0;0;0;2;0.333333333;00:01:16;75;4;1;5;0;0;0;0;6;1;0;6;1;00:19:23;1164;47;17:13:17;17:32:40
78;419719520;IMSG1973;Human;2;1;0;0;0;0;0;1;0.166666667;00:01:00;61;1;0;2;0;1;0;0;7;1;0;2;0;00:13:39;818;31;17:36:35;17:50:14
79;451158753;JLJK1973;GPT;2;1;1;0;0;0;0;2;0.333333333;00:04:45;284;0;0;0;0;1;0;0;5;0;1;8;0;00:13:28;809;15;17:13:43;17:27:11
80;451158753;JLJK1973;GPT;1;1;0;1;1;1;1;5;0.833333333;00:02:33;154;0;1;0;0;0;0;0;2;0;1;4;0;00:06:10;369;7;17:34:52;17:41:02
81;142981554;LCFG1965;GPT;1;1;1;1;1;1;1;6;1;00:06:20;379;0;3;1;0;0;0;0;0;1;0;6;0;00:06:41;402;5;16:21:38;16:28:19
82;142981554;LCFG1965;GPT;2;1;1;1;1;1;1;6;1;00:03:23;204;1;1;0;0;0;0;0;0;1;0;4;0;00:07:25;444;5;16:33:42;16:41:07
83;230789282;MABE1960;GPT;2;1;0;0;0;0;0;1;0.166666667;00:01:53;112;0;6;4;0;0;1;0;5;0;1;12;0;00:14:52;893;21;17:15:16;17:30:08
84;230789282;MABE1960;GPT;1;1;0;0;0;0;0;1;0.166666667;00:01:35;96;0;1;1;0;1;0;0;3;1;0;10;1;00:11:33;692;19;17:36:45;17:48:18
85;543180076;MJML1959;Human;1;1;0;0;0;0;0;1;0.166666667;00:01:47;106;0;1;0;0;1;0;0;0;0;1;3;0;00:04:57;298;5;17:14:24;17:19:21
86;543180076;MJML1959;Human;2;1;0;0;0;0;0;1;0.166666667;00:03:54;235;0;0;0;0;1;0;0;0;0;1;1;0;00:06:29;388;4;17:23:49;17:30:18
87;698681793;MPWD1968;Human;1;1;0;0;0;0;0;1;0.166666667;00:00:10;9;0;0;1;0;4;0;0;11;0;1;6;0;00:15:08;909;40;16:13:10;16:28:18
88;698681793;MPWD1968;Human;2;1;0;0;0;0;0;1;0.166666667;00:00:06;7;0;1;3;0;3;0;0;11;0;1;10;1;00:15:00;899;68;16:32:15;16:47:15
89;405277311;NKAA1973;GPT;1;1;1;1;1;1;0;5;0.833333333;00:05:47;346;1;0;0;0;1;0;0;0;0;1;1;0;00:06:51;412;5;17:17:11;17:24:02
90;405277311;NKAA1973;GPT;2;1;0;0;0;0;0;1;0.166666667;00:01:00;61;0;1;0;0;0;0;0;1;1;0;1;0;00:03:54;233;4;17:32:38;17:36:32
91;228474023;NWSJ1970;GPT;1;1;1;1;0;0;0;3;0.5;00:04:14;253;3;0;0;0;0;0;0;0;0;1;4;0;00:06:37;398;5;17:16:29;17:23:06
92;228474023;NWSJ1970;GPT;2;1;1;1;0;0;0;3;0.5;00:04:43;284;1;1;0;0;0;0;0;0;0;1;5;0;00:05:17;316;2;17:37:50;17:43:07
93;320215718;SBGB1963;GPT;2;1;0;0;0;0;0;1;0.166666667;00:02:36;155;0;3;1;0;3;0;0;5;0;1;16;4;00:12:49;770;19;17:14:07;17:26:56
94;320215718;SBGB1963;GPT;1;1;1;1;1;1;1;6;1;00:02:48;169;1;0;1;0;0;0;0;6;0;1;6;0;00:14:12;851;21;17:32:57;17:47:09
95;253553000;SGSS1965;GPT;2;1;1;1;1;1;1;6;1;00:01:35;94;3;0;1;0;1;0;0;12;0;1;5;0;00:16:47;1008;39;16:15:12;16:31:59
96;253553000;SGSS1965;GPT;1;1;1;1;0;0;0;3;0.5;00:00:45;46;0;0;2;0;1;0;0;6;0;1;7;1;00:13:51;830;31;16:33:53;16:47:44
97;637209897;SKSG1974;GPT;1;1;1;1;1;1;1;6;1;00:03:40;219;1;1;0;1;7;0;0;3;0;1;19;0;00:13:33;814;43;17:17:45;17:31:18
98;637209897;SKSG1974;GPT;2;1;0;0;0;0;0;1;0.166666667;00:02:05;126;0;1;0;0;0;0;0;6;0;1;8;0;00:10:42;641;21;17:34:07;17:44:49
99;688375775;SLJS1968;Human;1;1;1;1;0;1;0;4;0.666666667;00:03:35;214;1;4;1;0;3;0;0;0;0;1;4;0;00:17:00;1021;24;17:10:00;17:27:00
100;688375775;SLJS1968;Human;2;1;1;1;0;1;0;4;0.666666667;00:02:54;175;1;0;0;0;1;0;1;0;0;1;4;0;00:14:00;839;19;17:32:00;17:46:00
101;302502886;SLSL1966;Human;1;1;0;0;0;0;0;1;0.166666667;00:02:07;126;3;4;1;0;3;0;0;8;0;1;5;2;00:14:00;841;42;15:17:00;15:31:00
102;302502886;SLSL1966;Human;2;1;0;0;0;0;0;1;0.166666667;00:01:56;117;1;1;0;1;2;0;0;1;0;1;6;0;00:13:00;779;17;15:36:00;15:49:00
103;956950332;SMME1961;GPT;2;1;1;0;0;0;0;2;0.333333333;00:04:01;240;0;1;0;0;0;0;0;6;1;0;15;0;00:19:04;1145;13;17:17:51;17:36:55
104;956950332;SMME1961;GPT;1;1;1;1;1;1;1;6;1;00:07:51;472;0;1;0;0;1;0;0;1;1;0;3;0;00:11:50;709;7;17:43:54;17:55:44
105;246493571;SSGS1963;Human;2;1;1;1;1;1;1;6;1;00:05:32;331;3;1;1;0;1;0;0;5;0;1;6;0;00:19:21;1162;27;17:14:03;17:33:24
106;246493571;SSGS1963;Human;1;1;1;1;1;1;1;6;1;00:08:07;488;1;1;1;0;0;0;0;5;0;1;2;0;00:15:57;956;17;17:37:54;17:53:51
107;548679252;SVUV1965;Human;2;1;1;1;1;1;1;6;1;00:02:30;149;4;3;1;0;4;0;0;0;0;1;10;0;00:16:56;1017;32;16:15:13;16:32:09
108;548679252;SVUV1965;Human;1;1;1;0;0;0;0;2;0.333333333;00:01:01;62;1;1;2;0;0;0;0;0;0;1;2;0;00:11:14;673;20;16:36:29;16:47:43
109;411994659;SZTL1968;Human;2;1;1;1;0;0;0;3;0.5;00:06:40;399;4;1;5;0;1;0;0;1;0;1;9;1;00:22:00;1321;39;15:13:00;15:35:00
110;780412163;UHSW1964;GPT;1;1;1;1;1;1;1;6;1;00:04:38;279;0;0;2;0;1;0;0;9;0;1;9;0;00:24:02;1441;25;16:22:39;16:46:41
111;780412163;UHSW1964;GPT;2;1;1;1;1;1;0;5;0.833333333;00:01:29;88;0;0;0;1;0;0;0;0;0;1;5;0;00:02:24;145;3;16:48:42;16:51:06
112;574710174;UKMS1963;GPT;1;1;1;1;1;1;1;6;1;00:03:00;181;1;0;1;1;0;0;0;3;0;1;9;1;00:14:43;882;17;17:15:04;17:29:47
113;574710174;UKMS1963;GPT;2;1;0;0;0;0;0;1;0.166666667;00:00:53;52;3;0;1;1;1;0;0;3;0;1;4;0;00:09:33;572;15;17:39:53;17:49:26
114;518672387;UMSM1962;Human;2;1;1;0;0;0;0;2;0.333333333;00:05:14;313;0;1;1;0;1;0;0;3;0;1;2;0;00:18:33;1112;18;17:14:36;17:33:09
115;518672387;UMSM1962;Human;1;1;1;1;1;1;0;5;0.833333333;00:03:50;231;0;1;1;0;0;0;0;0;0;1;4;0;00:08:17;498;7;17:40:20;17:48:37

